id,customer_id,begin_date,end_date,type,paperless_billing,payment_method,monthly_charges,total_charges,internet_service,online_security,online_backup,device_protection,tech_support,streaming_tv,streaming_movies,gender,senior_citizen,partner,dependents,multiple_lines,target
59,3957-SQXML,2017-04-01,,Two year,No,Credit card (automatic),24.95,894.3,Fiber optic,No,No,No,No,No,No,Female,0,Yes,Yes,Yes,0
147,2135-RXIHG,2019-12-01,2020-01-01,Month-to-month,Yes,Electronic check,45.65,45.65,DSL,No,No,No,No,No,No,Male,0,No,No,No,1
481,0447-BEMNG,2015-11-01,2019-11-01,Month-to-month,Yes,Bank transfer (automatic),45.3,2145.0,DSL,Yes,No,Yes,No,No,Yes,Female,0,Yes,No,No,1
1105,2176-LVPNX,2014-03-01,,Two year,No,Mailed check,89.85,6293.45,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Female,1,No,No,Yes,0
1304,3941-XTSKM,2016-08-01,,One year,Yes,Credit card (automatic),45.1,2049.05,DSL,No,Yes,Yes,No,No,Yes,Male,0,Yes,Yes,No,0
1343,7266-GSSJX,2019-03-01,,Month-to-month,Yes,Electronic check,20.45,250.8,Fiber optic,No,No,No,No,No,No,Male,0,Yes,Yes,No,0
1777,7789-HKSBS,2016-08-01,,One year,Yes,Bank transfer (automatic),105.2,4599.15,Fiber optic,Yes,No,Yes,No,Yes,Yes,Female,1,Yes,No,Yes,0
2166,1657-DYMBM,2015-09-01,,Two year,No,Credit card (automatic),19.9,1110.05,Fiber optic,No,No,No,No,No,No,Male,0,Yes,No,No,0
2313,3097-PYWXL,2019-10-01,,Month-to-month,Yes,Electronic check,19.95,82.9,Fiber optic,No,No,No,No,No,No,Female,0,Yes,Yes,No,0
2839,5485-ITNPC,2014-08-01,,Two year,Yes,Bank transfer (automatic),85.9,5595.3,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Male,0,Yes,No,No,0
3015,1208-DNHLN,2017-12-01,2019-11-01,One year,Yes,Credit card (automatic),48.35,1067.15,DSL,No,No,No,No,No,No,Male,0,Yes,Yes,Yes,1
3016,1761-AEZZR,2019-12-01,2020-01-01,Month-to-month,Yes,Electronic check,79.55,79.55,Fiber optic,No,No,No,No,Yes,No,Male,0,No,No,No,1
3017,3923-CSIHK,2015-09-01,2019-11-01,Month-to-month,Yes,Electronic check,71.05,3444.85,Fiber optic,No,No,No,No,No,No,Female,1,Yes,No,No,1
3018,5696-EXCYS,2018-09-01,,Two year,No,Credit card (automatic),19.45,369.05,Fiber optic,No,No,No,No,No,No,Male,0,No,No,No,0
3019,5795-KTGUD,2014-06-01,,Two year,Yes,Bank transfer (automatic),110.8,7553.6,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Female,0,Yes,No,Yes,0
3276,7075-BNDVQ,2019-10-01,,Month-to-month,No,Mailed check,35.0,135.75,DSL,Yes,No,Yes,No,No,No,Female,0,No,No,No,0
3324,1125-SNVCK,2016-01-01,,Month-to-month,No,Mailed check,43.8,2106.05,DSL,No,No,No,No,No,No,Female,1,No,No,No,0
4243,2121-JAFOM,2014-02-01,,Two year,Yes,Credit card (automatic),115.55,8312.4,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Female,0,Yes,No,Yes,0
4577,1834-ABKHQ,2015-10-01,,One year,Yes,Bank transfer (automatic),50.95,2610.65,DSL,No,No,Yes,No,No,No,Female,0,Yes,Yes,No,0
4675,0129-KPTWJ,2014-02-01,,Month-to-month,Yes,Electronic check,94.65,6747.35,Fiber optic,No,No,Yes,No,Yes,Yes,Male,0,Yes,No,No,0
4918,1449-XQEMT,2019-09-01,2019-12-01,Month-to-month,Yes,Mailed check,19.8,58.15,Fiber optic,No,No,No,No,No,No,Male,0,No,No,No,1
5003,1401-FTHFQ,2018-03-01,,One year,Yes,Credit card (automatic),20.0,445.3,Fiber optic,No,No,No,No,No,No,Male,0,Yes,Yes,No,0
5004,3247-ZVOUO,2019-01-01,2019-11-01,Month-to-month,No,Electronic check,85.55,851.75,Fiber optic,No,No,No,No,No,Yes,Male,1,Yes,No,Yes,1
5005,0254-FNMCI,2014-02-01,,Two year,Yes,Electronic check,109.9,7624.2,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Female,0,No,No,No,0
5006,1848-LBZHY,2019-07-01,,Month-to-month,Yes,Bank transfer (automatic),50.3,355.1,DSL,Yes,No,No,No,No,No,Female,0,Yes,No,No,0
5007,6101-IMRMM,2019-05-01,2019-11-01,Month-to-month,No,Mailed check,94.5,575.45,Fiber optic,No,No,Yes,No,Yes,Yes,Male,0,No,Yes,No,1
5008,8118-TJAFG,2019-05-01,,Month-to-month,Yes,Electronic check,101.5,906.85,Fiber optic,No,Yes,No,Yes,Yes,Yes,Male,0,Yes,Yes,No,0
5009,5429-LWCMV,2019-02-01,,Month-to-month,Yes,Electronic check,89.15,1057.55,Fiber optic,No,Yes,No,No,No,Yes,Female,0,No,No,Yes,0
5010,7298-IZWLY,2020-01-01,,Month-to-month,Yes,Mailed check,19.4,19.4,Fiber optic,No,No,No,No,No,No,Female,0,No,No,No,0
5078,6591-QGOYB,2018-09-01,,Month-to-month,Yes,Bank transfer (automatic),106.65,1672.1,Fiber optic,Yes,Yes,Yes,Yes,Yes,No,Male,0,No,No,Yes,0
6012,5649-TJHOV,2017-08-01,2019-11-01,Month-to-month,No,Bank transfer (automatic),36.5,1032.0,DSL,No,No,No,No,No,Yes,Male,1,Yes,No,No,1
6013,0519-XUZJU,2019-10-01,2019-11-01,Month-to-month,No,Mailed check,70.75,70.75,Fiber optic,No,No,No,No,No,No,Female,0,No,No,No,1
6014,3363-EWLGO,2019-09-01,,Month-to-month,No,Mailed check,19.95,109.6,Fiber optic,No,No,No,No,No,No,Female,0,No,No,No,0
6015,4750-UKWJK,2017-01-01,,One year,No,Mailed check,19.6,727.8,Fiber optic,No,No,No,No,No,No,Female,1,Yes,No,No,0
6016,6338-AVWCY,2019-09-01,2019-12-01,Month-to-month,Yes,Mailed check,40.15,130.75,DSL,No,No,Yes,No,Yes,No,Male,0,No,No,No,1
6017,1689-YQBYY,2019-02-01,,Month-to-month,Yes,Electronic check,76.6,893.0,Fiber optic,No,No,No,No,No,No,Female,0,No,Yes,Yes,0
6018,4487-ZYJZK,2016-12-01,,One year,No,Credit card (automatic),19.6,763.1,Fiber optic,No,No,No,No,No,No,Female,0,Yes,Yes,No,0
6019,2959-FENLU,2019-05-01,,Month-to-month,Yes,Credit card (automatic),85.3,781.4,Fiber optic,No,No,Yes,No,No,Yes,Female,0,No,No,No,0
6020,0708-LGSMF,2019-01-01,,Month-to-month,Yes,Electronic check,65.85,902.25,DSL,Yes,No,No,No,No,Yes,Male,0,Yes,No,Yes,0
6021,9253-QXKBE,2017-08-01,2020-01-01,Month-to-month,Yes,Electronic check,94.45,2653.65,Fiber optic,No,No,No,No,Yes,Yes,Male,1,Yes,No,Yes,1
6022,7634-HLQJR,2016-03-01,,Two year,No,Credit card (automatic),20.05,1016.7,Fiber optic,No,No,No,No,No,No,Female,0,Yes,Yes,No,0
6610,4816-OKWNX,2015-12-01,,One year,Yes,Bank transfer (automatic),103.4,5236.4,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Male,0,Yes,Yes,No,0
6907,2405-LBMUW,2015-01-01,,One year,Yes,Bank transfer (automatic),50.7,3088.75,DSL,Yes,Yes,No,Yes,No,Yes,Female,0,Yes,Yes,No,0
11,9763-GRSKD,2019-01-01,,Month-to-month,Yes,Mailed check,49.95,587.45,DSL,Yes,No,No,No,No,No,Male,0,Yes,Yes,No,0
12,7469-LKBCI,2018-10-01,,Two year,No,Credit card (automatic),18.95,326.8,Fiber optic,No,No,No,No,No,No,Male,0,No,No,No,0
13,8091-TTVAX,2015-04-01,,One year,No,Credit card (automatic),100.35,5681.1,Fiber optic,No,No,Yes,No,Yes,Yes,Male,0,Yes,No,Yes,0
14,0280-XJGEX,2015-09-01,2019-10-01,Month-to-month,Yes,Bank transfer (automatic),103.7,5036.3,Fiber optic,No,Yes,Yes,No,Yes,Yes,Male,0,No,No,Yes,1
15,5129-JLPIS,2018-01-01,,Month-to-month,Yes,Electronic check,105.5,2686.05,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Male,0,No,No,No,0
16,3655-SNQYZ,2014-05-01,,Two year,No,Credit card (automatic),113.25,7895.15,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Female,0,Yes,Yes,Yes,0
18,9959-WOFKT,2014-03-01,,Two year,No,Bank transfer (automatic),106.7,7382.25,Fiber optic,Yes,No,Yes,No,Yes,Yes,Male,0,No,Yes,Yes,0
19,4190-MFLUW,2019-01-01,2019-11-01,Month-to-month,No,Credit card (automatic),55.2,528.35,DSL,No,No,Yes,Yes,No,No,Female,0,Yes,Yes,No,1
20,4183-MYFRB,2018-05-01,,Month-to-month,Yes,Electronic check,90.05,1862.9,Fiber optic,No,Yes,Yes,No,No,Yes,Female,0,No,No,No,0
21,8779-QRDMV,2019-11-01,2019-12-01,Month-to-month,Yes,Electronic check,39.65,39.65,DSL,No,No,Yes,No,No,Yes,Male,1,No,No,No,1
22,1680-VDCWW,2019-02-01,,One year,No,Bank transfer (automatic),19.8,202.25,Fiber optic,No,No,No,No,No,No,Male,0,Yes,No,No,0
23,1066-JKSGK,2019-11-01,2019-12-01,Month-to-month,No,Mailed check,20.15,20.15,Fiber optic,No,No,No,No,No,No,Male,0,No,No,No,1
24,3638-WEABW,2015-04-01,,Two year,Yes,Credit card (automatic),59.9,3505.1,DSL,No,Yes,No,Yes,No,No,Female,0,Yes,No,Yes,0
25,6322-HRPFA,2016-01-01,,Month-to-month,No,Credit card (automatic),59.6,2970.3,DSL,Yes,Yes,No,Yes,No,No,Male,0,Yes,Yes,No,0
26,6865-JZNKO,2017-08-01,,Month-to-month,Yes,Bank transfer (automatic),55.3,1530.6,DSL,Yes,Yes,No,No,No,No,Female,0,No,No,No,0
27,6467-CHFZW,2015-12-01,2019-11-01,Month-to-month,Yes,Electronic check,99.35,4749.15,Fiber optic,No,Yes,No,No,Yes,Yes,Male,0,Yes,Yes,Yes,1
28,8665-UTDHZ,2019-11-01,2019-12-01,Month-to-month,No,Electronic check,30.2,30.2,DSL,No,Yes,No,No,No,No,Male,0,Yes,Yes,No,1
29,5248-YGIJN,2014-02-01,,Two year,Yes,Credit card (automatic),90.25,6369.45,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Male,0,Yes,No,Yes,0
30,8773-HHUOZ,2018-06-01,2019-11-01,Month-to-month,Yes,Mailed check,64.7,1093.1,DSL,No,No,No,No,Yes,Yes,Female,0,No,Yes,No,1
31,3841-NFECX,2014-03-01,,Two year,Yes,Credit card (automatic),96.35,6766.95,Fiber optic,Yes,Yes,Yes,Yes,No,No,Female,1,Yes,No,Yes,0
32,4929-XIHVW,2019-12-01,,Month-to-month,Yes,Credit card (automatic),95.5,181.65,Fiber optic,No,No,Yes,No,Yes,Yes,Male,1,Yes,No,No,0
33,6827-IEAUQ,2017-11-01,,One year,No,Mailed check,66.15,1874.45,DSL,Yes,Yes,Yes,Yes,No,No,Female,0,Yes,Yes,No,0
34,7310-EGVHZ,2020-01-01,,Month-to-month,No,Bank transfer (automatic),20.2,20.2,Fiber optic,No,No,No,No,No,No,Male,0,No,No,No,0
35,3413-BMNZE,2020-01-01,,Month-to-month,No,Bank transfer (automatic),45.25,45.25,DSL,No,No,No,No,No,No,Male,1,No,No,No,0
36,6234-RAAPL,2014-02-01,,Two year,No,Bank transfer (automatic),99.9,7251.7,Fiber optic,Yes,Yes,No,Yes,Yes,No,Female,0,Yes,Yes,Yes,0
37,6047-YHPVI,2019-06-01,2019-11-01,Month-to-month,Yes,Electronic check,69.7,316.9,Fiber optic,No,No,No,No,No,No,Male,0,No,No,No,1
38,6572-ADKRS,2016-04-01,,Month-to-month,Yes,Credit card (automatic),74.8,3548.3,Fiber optic,No,No,Yes,No,No,No,Female,0,No,No,No,0
39,5380-WJKOV,2017-02-01,2019-12-01,Month-to-month,Yes,Electronic check,106.35,3549.25,Fiber optic,No,Yes,Yes,No,Yes,Yes,Male,0,No,No,Yes,1
40,8168-UQWWF,2018-12-01,2019-11-01,Month-to-month,Yes,Bank transfer (automatic),97.85,1105.4,Fiber optic,No,No,Yes,No,Yes,Yes,Female,0,No,No,Yes,1
41,8865-TNMNX,2019-04-01,,One year,No,Mailed check,49.55,475.7,DSL,No,Yes,No,No,No,No,Male,0,Yes,Yes,No,0
